StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       16,      09,   191701,   5.68,     58,   -.11,   -.11,    .54,     .3,     69,    286,    .58,    .55,   -.09,   -.07,     .4,   -.43,   -.82,   49.8,   66.2,
       16,      07,   191701,   4.29,   55.4,  -2.35,  -2.35,   -.81,  -2.35,     39,    337,   -.21,   -.14,  -1.07,  -1.16,   -.68,  -1.36,  -1.33,   46.8,   63.9,
       16,      03,   191701,   5.44,     49,  -1.52,  -1.52,   -.21,   -.91,     14,    510,    .28,   -.31,   -.99,  -1.11,   -.17,  -1.29,  -1.55,   38.8,   59.2,
       16,      06,   191701,   8.25,   54.6,     .8,    1.4,   2.08,   1.31,     42,    364,   1.07,    .99,     .2,   -.04,    .87,    .06,   -.17,   44.4,   64.8,
       16,      01,   191701,   4.26,   48.8,  -2.36,  -2.36,   -.68,  -2.36,     10,    512,    .03,   -.73,    -.9,  -1.35,   -.74,  -1.63,   -.76,   38.5,   59.2,
       16,      04,   191701,   4.58,   51.1,  -2.91,  -2.91,   -.75,  -2.91,     19,    450,      0,   -.45,  -1.02,  -1.33,   -.76,  -1.72,  -1.37,     41,   61.1,
       16,      05,   191701,   5.58,   52.6,  -1.16,  -1.16,   -.09,  -1.12,     25,    409,     .2,    .13,   -.79,     -1,    .15,   -.84,   -.93,   42.6,   62.6,
       16,      08,   191701,    6.9,   55.7,   -.76,   -.76,   1.49,    .31,     48,    336,    .86,    .72,   -.09,   -.21,    .16,   -.55,  -1.25,   46.3,   65.1,
       16,      02,   191701,   5.44,   47.6,  -1.71,  -1.71,   -.16,  -1.71,      9,    549,    .31,   -.25,   -.79,  -1.02,   -.23,  -1.17,  -1.09,   37.8,   57.4,
       16,      05,   191702,    5.6,   53.2,   -.89,   -.89,    .45,   -.48,     14,    344,    .38,    .31,    .21,    -.9,    -.5,   -.44,  -1.18,   40.6,   65.8,
       16,      02,   191702,   4.14,   50.4,  -1.76,  -1.76,   -.69,  -1.76,      8,    416,   -.12,    .07,   -.35,    -.9,   -.77,   -.82,  -1.23,   37.1,   63.7,
       16,      09,   191702,   3.47,   57.4,   -.44,   -.44,  -1.01,   -.44,     30,    243,    -.3,    .18,    .26,    .01,   -.06,   -.29,   -.96,   48.1,   66.8,
       16,      03,   191702,   5.51,   49.7,  -1.26,  -1.26,    .31,   -.54,      8,    436,    .37,    .33,   -.16,   -.81,   -.55,   -.85,  -1.63,   37.2,   62.2,
       16,      06,   191702,   5.34,   55.3,   -.04,   1.22,   -.11,      1,     22,    294,    .19,    .86,     .9,     .1,    .51,    .34,   -.31,   43.5,   67.2,
       16,      07,   191702,   3.81,   56.7,   -2.3,   -2.3,   -.56,   -2.3,     27,    259,   -.07,   -.26,   -.23,  -1.52,   -.95,  -1.13,  -1.45,   45.9,   67.4,
       16,      04,   191702,   4.78,   52.1,  -2.62,  -2.62,   -.03,  -2.57,     11,    372,    .19,    .02,   -.32,  -1.25,  -1.32,  -1.23,  -1.54,     39,   65.3,
       16,      08,   191702,   3.93,   56.8,   -.91,   -.91,    -.7,   -.08,     29,    258,   -.15,    .52,    .51,   -.27,    -.3,   -.41,  -1.39,   45.9,   67.7,
       16,      01,   191702,    3.4,   50.7,  -2.43,  -2.43,   -.94,  -2.43,      8,    408,   -.29,   -.23,   -.79,  -1.15,  -1.25,  -1.19,    -.9,   37.2,   64.2,
       16,      05,   191703,   3.38,   60.3,  -1.35,  -1.35,  -1.65,  -1.35,     51,    197,   -.67,   -.28,   -.17,   -.91,   -.71,   -.29,  -1.22,     48,   72.5,
       16,      06,   191703,   4.61,   62.2,   -.38,    .75,  -1.04,   -.07,     69,    156,   -.18,   -.15,    .52,    .02,     .4,    .57,   -.16,   50.5,   73.9,
       16,      07,   191703,   2.65,   63.1,  -2.54,  -2.54,  -1.45,  -2.54,     80,    139,   -.54,   -.55,   -.59,  -1.34,   -.95,   -.92,  -1.49,   53.6,   72.7,
       16,      04,   191703,   2.97,   58.4,  -2.85,  -2.85,  -1.49,  -2.85,     35,    240,   -.76,   -.45,   -.41,  -1.17,  -1.38,  -1.01,  -1.54,   46.2,   70.4,
       16,      08,   191703,   3.82,   63.9,  -1.12,  -1.12,   -.89,   -.47,     91,    125,   -.04,   -.32,    .28,   -.14,   -.19,   -.12,   -1.3,   53.3,   74.5,
       16,      03,   191703,    4.6,     57,  -1.45,  -1.45,   -.97,   -.92,     31,    279,   -.32,   -.06,    .01,   -.81,   -.79,   -.54,  -1.36,   44.6,   69.3,
       16,      01,   191703,    3.3,     57,  -2.51,  -2.51,   -.99,  -2.51,     29,    277,   -.52,   -.63,   -.52,  -1.12,  -1.34,   -.94,   -.88,     45,   68.9,
       16,      09,   191703,   3.26,   64.6,    -.9,    -.9,  -1.52,    -.9,     97,    109,   -.47,   -.71,    -.2,    .18,   -.12,   -.07,   -.86,   55.3,   73.8,
       16,      02,   191703,   4.08,     56,  -1.89,  -1.89,   -.93,  -1.89,     24,    303,   -.43,   -.46,   -.22,   -.99,    -.9,   -.53,  -1.13,   44.2,   67.7,
       16,      01,   191704,   4.92,     63,  -2.07,  -2.07,    .56,  -1.76,     50,    110,    .28,   -.14,   -.36,   -.87,  -1.28,   -.82,   -.88,   51.1,   74.9,
       16,      02,   191704,   5.74,   62.2,  -1.41,  -1.41,    .85,   -.94,     40,    124,    .42,    .02,   -.16,   -.65,   -.91,    -.3,   -.92,   50.1,   74.4,
       16,      06,   191704,   4.06,   65.2,   -.52,   -.52,   -.55,   -.52,     74,     68,   -.23,   -.33,   -.27,   -.13,   -.33,     .5,    .13,   53.8,   76.6,
       16,      03,   191704,   6.66,     63,   -.85,   -.85,   1.35,    .15,     50,    110,    .64,    .24,    .27,   -.48,   -.71,   -.06,   -.91,   50.8,   75.2,
       16,      04,   191704,   6.15,   63.6,  -2.12,  -2.12,   1.31,  -1.51,     55,     97,    .63,    .02,    .02,   -.74,  -1.08,   -.72,  -1.32,   51.8,   75.4,
       16,      05,   191704,   5.67,   64.7,   -.99,   -.99,    .66,   -.53,     70,     79,    .37,   -.15,      0,   -.63,   -.88,   -.01,   -.84,     53,   76.5,
       16,      07,   191704,   3.97,     66,  -2.23,  -2.23,    .14,  -2.11,     87,     57,    .03,   -.36,   -.41,  -1.06,   -1.2,   -.86,   -1.3,   55.8,     76,
       16,      09,   191704,   3.38,   66.7,   -.99,   -.99,   -.55,   -.99,     94,     43,    -.2,    -.5,   -.66,   -.56,   -.49,   -.03,   -.58,   57.3,   76.1,
       16,      08,   191704,   3.34,   66.8,   -1.2,   -1.2,   -.59,   -.61,     99,     45,    -.3,   -.29,    -.4,   -.43,   -.52,   -.17,     -1,   56.2,   77.5,
       16,      08,   191705,   1.49,   71.2,   -1.8,   -1.8,  -2.18,   -1.8,    196,      0,  -1.45,  -1.19,  -1.01,    -.4,   -.85,   -.78,  -1.24,   61.2,   81.3,
       16,      07,   191705,   1.34,   70.7,   -2.7,   -2.7,  -2.09,   -2.7,    182,      5,  -1.53,   -.97,  -1.11,   -.95,  -1.67,   -1.3,  -1.64,   60.8,   80.6,
       16,      09,   191705,   1.38,   71.4,  -1.53,  -1.53,  -1.91,  -1.53,    202,      0,  -1.38,  -1.05,  -1.15,   -.65,   -.66,   -.64,   -.73,   62.5,   80.2,
       16,      02,   191705,   1.45,   66.6,   -1.9,   -1.9,   -1.9,   -1.9,     94,     45,  -1.67,   -.64,   -.78,   -.77,  -1.15,  -1.04,  -1.06,   54.2,     79,
       16,      01,   191705,   1.94,   67.6,  -2.39,  -2.39,   -1.6,  -2.39,    114,     33,  -1.27,   -.66,   -.82,  -1.14,  -1.38,  -1.46,   -.89,   55.4,   79.8,
       16,      05,   191705,   1.17,   69.2,  -1.61,  -1.61,  -2.16,  -1.61,    145,     15,  -2.13,   -.67,     -1,   -.56,  -1.32,     -1,   -1.2,   56.6,   81.8,
       16,      04,   191705,   1.65,   68.1,  -2.52,  -2.52,  -1.85,  -2.52,    120,     24,  -1.53,   -.35,   -.68,   -.72,  -1.36,  -1.42,  -1.39,   55.4,   80.8,
       16,      06,   191705,   1.03,   69.5,  -1.32,  -1.32,  -2.56,  -1.32,    150,     11,  -1.76,  -1.21,  -1.16,   -.23,   -.68,    -.3,   -.26,   57.8,   81.1,
       16,      03,   191705,   1.77,   67.1,  -1.25,  -1.25,  -1.47,   -.69,    105,     40,  -1.35,   -.27,   -.42,   -.45,   -.92,   -.71,  -1.14,   54.4,   79.8,
       16,      01,   191706,   1.09,   79.9,  -2.85,  -2.85,  -2.12,  -2.85,    447,      0,  -1.36,  -1.78,  -1.23,   -1.3,  -1.55,  -1.73,  -1.11,   66.7,     93,
       16,      07,   191706,   1.37,   80.3,  -3.28,  -3.28,  -2.57,  -3.28,    459,      0,  -1.64,  -3.09,  -1.74,  -1.53,   -1.8,  -1.49,  -1.71,   69.6,   91.1,
       16,      09,   191706,   1.16,   79.4,  -2.33,  -2.33,  -2.89,  -2.33,    432,      0,     -2,  -2.45,  -2.03,   -1.5,   -.93,  -1.06,   -.82,   69.6,   89.2,
       16,      02,   191706,   1.59,   78.2,  -2.29,  -2.29,  -1.76,  -2.29,    396,      0,  -1.13,  -1.84,  -1.07,   -.92,  -1.36,  -1.27,  -1.24,     65,   91.3,
       16,      04,   191706,   1.15,   80.1,  -3.09,  -3.09,  -2.49,  -3.09,    453,      0,  -1.58,  -3.09,   -.95,   -.95,  -1.45,  -1.63,  -1.45,   66.6,   93.6,
       16,      05,   191706,    .93,   80.4,  -2.43,  -2.43,  -2.97,  -2.43,    462,      0,  -2.01,  -3.09,  -1.41,  -1.11,  -1.47,  -1.25,  -1.35,     67,   93.7,
       16,      08,   191706,    1.3,   80.2,  -2.56,  -2.56,  -2.83,  -2.56,    456,      0,  -1.91,  -2.76,  -2.25,  -1.12,  -1.15,  -1.08,   -1.4,   68.8,   91.4,
       16,      06,   191706,    1.8,   79.2,  -2.13,  -2.13,  -2.85,  -2.13,    426,      0,  -1.59,  -2.63,  -1.96,   -.79,   -.94,   -.56,   -.36,   66.9,   91.4,
       16,      03,   191706,   1.57,   78.1,  -1.67,  -1.67,  -1.62,  -1.54,    393,      0,  -1.18,  -1.75,   -.75,   -.53,  -1.09,  -1.04,  -1.34,   64.5,   91.8,
       16,      05,   191707,   4.07,   83.1,  -2.77,  -2.77,  -1.76,  -2.77,    561,      0,   -.37,  -1.51,  -2.45,  -1.26,  -1.48,  -1.53,  -1.48,   71.7,   94.6,
       16,      07,   191707,    5.6,   83.1,  -3.35,  -3.35,  -1.22,  -3.35,    561,      0,   -.15,   -1.2,  -1.87,  -1.45,  -1.72,  -1.67,   -1.7,   73.4,   92.8,
       16,      01,   191707,   6.31,   83.1,  -2.29,  -2.29,    .78,  -1.91,    561,      0,   1.03,   -.02,   -.76,   -.78,  -1.12,  -1.44,    -.9,   71.1,   95.1,
       16,      09,   191707,   6.08,   82.3,  -2.62,  -2.62,  -1.57,  -2.62,    536,      0,   -.53,  -1.64,  -2.17,  -1.91,   -1.6,  -1.42,   -.92,   74.3,   90.3,
       16,      06,   191707,    5.5,   82.4,  -2.47,  -2.47,  -1.66,  -2.47,    539,      0,    -.4,  -1.51,  -2.42,  -1.37,  -1.06,  -1.14,   -.46,   72.2,   92.6,
       16,      03,   191707,   4.03,     82,   -1.8,   -1.8,    -.9,   -1.8,    527,      0,   -.04,   -.83,  -1.51,   -.62,  -1.07,  -1.22,  -1.33,   69.7,   94.3,
       16,      08,   191707,   6.44,   82.9,   -2.6,   -2.6,   -.92,   -2.6,    555,      0,   -.02,  -1.32,  -1.98,  -1.52,  -1.29,  -1.25,  -1.41,   73.4,   92.4,
       16,      02,   191707,   4.44,   81.9,  -2.27,  -2.27,   -.65,  -2.27,    524,      0,    .12,   -.68,  -1.47,  -1.02,  -1.24,  -1.39,  -1.29,   69.5,   94.2,
       16,      04,   191707,   4.27,     83,  -3.21,  -3.21,  -1.32,  -3.21,    558,      0,    .01,     -1,  -1.86,   -.95,  -1.33,  -1.53,  -1.44,   71.1,   94.9,
       16,      07,   191708,   5.93,   82.2,  -3.09,  -3.09,   -.26,  -3.09,    533,      0,    .38,    .04,    -.8,  -1.32,  -1.22,  -1.72,   -2.1,   72.2,   92.1,
       16,      06,   191708,   6.23,   80.6,  -2.28,  -2.28,    -.2,  -2.28,    484,      0,    .37,   -.11,   -.92,  -1.41,   -.66,   -.99,   -.42,   70.1,     91,
       16,      04,   191708,   3.66,   81.3,  -3.11,  -3.11,   -.69,  -3.11,    505,      0,    .23,    .02,   -.76,   -.98,   -.98,  -1.48,  -1.85,   69.5,   93.1,
       16,      02,   191708,    5.8,   79.2,  -1.35,  -1.35,   2.08,   -.36,    440,      0,   1.33,    .88,    .06,   -.53,    -.6,     -1,  -1.25,   68.3,   90.2,
       16,      03,   191708,   4.98,     80,  -1.22,  -1.22,   1.17,   -.58,    465,      0,     .9,    .45,   -.25,   -.53,   -.49,   -.91,  -1.14,   68.3,   91.7,
       16,      08,   191708,   6.79,   81.4,  -2.37,  -2.37,   -.11,  -2.36,    508,      0,    .44,    .18,    -.8,  -1.32,   -.81,  -1.14,  -1.33,   71.6,   91.3,
       16,      01,   191708,   5.88,   80.1,  -1.27,  -1.27,   2.37,    .14,    468,      0,   1.34,   1.57,    .61,   -.17,   -.57,   -.94,  -1.34,   69.3,   90.9,
       16,      09,   191708,   7.41,   81.6,   -2.4,   -2.4,   -.17,   -2.4,    515,      0,    .39,   -.17,  -1.14,  -1.63,  -1.17,   -1.1,    -.9,   73.1,     90,
       16,      05,   191708,   4.17,   81.5,  -2.71,  -2.71,   -.68,  -2.71,    512,      0,    .17,   -.28,  -1.14,  -1.37,  -1.02,  -1.53,  -1.55,     70,   92.9,
       16,      06,   191709,   3.47,   75.4,  -2.41,  -2.41,   -1.1,  -2.41,    312,      0,   -.17,    .02,   -.31,  -1.59,   -.87,     -1,   -.67,   64.4,   86.5,
       16,      09,   191709,   3.67,   77.1,   -2.7,   -2.7,  -1.65,   -2.7,    363,      0,   -.58,   -.23,   -.54,  -1.76,  -1.49,  -1.08,  -1.24,   68.8,   85.4,
       16,      01,   191709,   2.55,     74,  -1.24,  -1.24,    -.3,    .03,    275,      5,    .05,    .86,   1.17,   -.08,   -.31,   -.86,  -1.17,   62.1,   85.8,
       16,      02,   191709,   2.03,   72.7,   -1.5,   -1.5,   -.88,   -.87,    238,      7,   -.35,    .61,    .42,   -.58,   -.57,  -1.09,  -1.12,   60.7,   84.6,
       16,      05,   191709,   2.02,     75,  -2.98,  -2.98,  -1.66,  -2.98,    300,      0,   -.71,   -.47,   -.75,  -1.55,  -1.33,  -1.57,  -1.58,   62.7,   87.3,
       16,      04,   191709,   2.36,   74.4,  -3.15,  -3.15,  -1.09,  -3.15,    282,      0,   -.34,   -.25,    -.3,   -.98,     -1,  -1.42,  -1.73,     62,   86.9,
       16,      07,   191709,   2.08,   76.1,   -3.5,   -3.5,  -2.18,   -3.5,    333,      0,  -1.15,    -.5,   -.61,  -1.66,  -1.57,  -1.84,  -2.28,   65.4,   86.8,
       16,      08,   191709,   2.46,   76.3,  -2.85,  -2.85,  -2.17,  -2.85,    339,      0,  -1.09,    -.4,   -.49,  -1.77,  -1.18,  -1.22,  -1.51,   66.1,   86.5,
       16,      03,   191709,   2.02,   72.8,  -1.31,  -1.31,   -.64,   -.92,    241,      7,   -.24,    .42,     .2,   -.52,   -.42,   -.92,  -1.04,   60.8,   84.7,
       16,      02,   191710,   2.05,   59.9,  -1.53,  -1.53,   -.55,  -1.08,     26,    185,   -.24,   -.57,    .16,   -.95,   -.81,  -1.07,  -1.05,   43.4,   76.4,
       16,      08,   191710,    .67,   64.5,  -3.17,  -3.17,  -1.84,  -3.17,     79,     95,  -1.37,  -1.98,  -1.15,   -2.1,  -1.85,  -1.67,  -1.92,   50.7,   78.3,
       16,      04,   191710,   1.49,   61.4,  -3.17,  -3.17,  -1.03,  -3.17,     38,    149,   -.58,   -.74,   -.68,  -1.66,  -1.21,  -1.47,  -1.64,     45,   77.8,
       16,      07,   191710,   1.05,     65,   -3.7,   -3.7,  -1.67,   -3.7,     84,     84,  -1.15,  -1.97,  -1.02,  -2.09,  -1.75,  -2.05,   -2.5,   50.8,   79.1,
       16,      03,   191710,   2.06,   59.3,  -1.29,  -1.29,   -.35,     -1,     23,    200,   -.18,   -.46,    .07,   -1.1,   -.63,  -1.01,  -1.04,     43,   75.6,
       16,      05,   191710,   1.34,     62,  -3.08,  -3.08,   -1.2,  -3.08,     44,    137,   -.78,  -1.24,  -1.01,  -2.27,  -1.59,  -1.76,  -1.72,     46,   78.1,
       16,      09,   191710,    .87,   65.1,  -2.94,  -2.94,  -1.55,  -2.94,     84,     81,  -1.17,  -1.34,   -.88,  -2.01,     -2,  -1.76,  -1.75,   53.4,   76.8,
       16,      01,   191710,    1.6,   60.6,  -1.41,  -1.41,    -.9,   -.49,     31,    168,   -.54,   -.49,    .23,   -.43,   -.54,   -.88,  -1.08,   43.8,   77.4,
       16,      06,   191710,   1.02,   62.2,  -2.67,  -2.67,  -1.53,  -2.67,     49,    136,  -1.04,   -.98,   -.69,  -2.02,  -1.54,  -1.26,   -1.1,   46.5,   77.9,
       16,      05,   191711,    1.3,     53,  -3.49,  -3.49,  -2.18,  -3.49,      6,    366,  -1.44,   -1.7,  -1.77,   -2.4,  -2.18,  -1.82,  -1.78,   37.2,   68.8,
       16,      04,   191711,   1.41,   52.7,  -3.49,  -3.49,  -1.93,  -3.49,      5,    374,  -1.37,  -1.44,  -1.36,  -1.59,  -1.64,  -1.51,  -1.71,   37.2,   68.3,
       16,      08,   191711,    .98,   54.8,  -3.68,  -3.68,   -2.5,  -3.68,     11,    317,  -1.37,  -2.08,   -2.4,  -2.26,  -2.22,  -1.67,   -1.9,   40.1,   69.5,
       16,      09,   191711,    .64,   55.3,  -3.46,  -3.46,  -2.46,  -3.46,     12,    303,  -1.79,   -1.9,     -2,  -2.02,  -2.19,  -1.85,  -1.85,   42.6,     68,
       16,      02,   191711,   1.32,   51.3,  -2.09,  -2.09,  -2.17,  -2.09,      0,    411,  -1.53,  -1.22,  -1.29,   -.86,  -1.15,  -1.13,  -1.29,   35.8,   66.7,
       16,      01,   191711,   2.54,   52.6,  -1.71,  -1.71,  -1.32,  -1.22,      0,    377,    -.7,   -.92,   -.86,    -.2,   -.64,   -.94,  -1.27,   37.2,     68,
       16,      03,   191711,    .92,   50.8,   -1.9,   -1.9,  -2.23,   -1.9,      0,    426,  -2.29,  -1.34,   -1.3,  -1.16,  -1.21,  -1.06,  -1.33,   35.1,   66.5,
       16,      06,   191711,    1.2,     53,  -3.11,  -3.11,  -2.14,  -3.11,      6,    366,  -1.33,  -1.76,  -1.61,  -2.11,  -1.99,  -1.26,  -1.14,   36.8,   69.1,
       16,      07,   191711,   1.07,   55.7,  -4.24,  -4.24,  -2.76,  -4.24,     14,    293,  -1.61,  -2.01,  -2.24,  -2.07,  -2.13,  -1.99,  -2.36,   41.6,   69.8,
       16,      04,   191712,    2.2,   44.6,  -4.01,  -4.01,  -2.65,  -4.01,      0,    632,   -1.7,  -2.89,   -2.4,  -1.72,  -2.04,  -1.82,   -2.6,   34.5,   54.8,
       16,      03,   191712,   2.12,   41.1,  -2.48,  -2.48,  -2.34,  -2.48,      0,    741,  -1.81,  -2.74,  -2.14,  -1.39,  -1.62,  -1.29,  -1.93,   30.6,   51.5,
       16,      09,   191712,   2.64,   50.9,   -3.9,   -3.9,  -2.38,   -3.9,      6,    443,  -1.08,  -2.19,  -2.24,   -1.9,  -2.25,  -2.12,  -2.23,   41.5,   60.3,
       16,      05,   191712,   2.65,   45.8,  -3.97,  -3.97,  -2.54,  -3.97,      0,    595,  -2.26,  -2.58,  -2.53,  -2.38,  -2.55,  -2.22,   -2.3,   35.1,   56.4,
       16,      01,   191712,   1.91,     42,  -2.28,  -2.28,  -2.26,  -2.28,      0,    713,  -1.46,  -1.52,  -1.54,   -.29,   -.95,  -1.05,  -1.53,   32.3,   51.6,
       16,      08,   191712,   2.52,     50,  -4.25,  -4.25,  -2.85,  -4.25,      5,    470,   -1.5,  -2.09,  -2.55,  -2.13,   -2.4,  -1.95,  -2.17,   39.2,   60.8,
       16,      07,   191712,   1.88,   49.9,  -4.91,  -4.91,  -3.34,  -4.91,      0,    473,  -3.09,  -3.09,  -3.02,  -2.37,  -2.39,  -2.24,  -2.63,   39.9,   59.8,
       16,      02,   191712,   1.94,   40.9,   -2.7,   -2.7,  -2.46,   -2.7,      0,    747,  -1.67,  -2.66,  -2.04,  -1.11,  -1.54,  -1.39,  -1.79,   30.9,   50.9,
       16,      06,   191712,   2.85,   47.5,  -3.56,  -3.56,  -2.31,  -3.56,      0,    542,  -1.58,  -2.23,  -2.33,  -1.96,  -2.22,   -1.6,  -1.24,   35.9,     59,
       16,      05,   191801,   4.94,   40.5,  -3.72,  -3.72,   -.46,  -3.72,      0,    760,   -.03,     -1,  -1.57,  -1.87,  -3.03,   -2.5,  -2.42,     28,     53,
       16,      06,   191801,   5.67,   42.9,  -3.13,  -3.13,    .19,     -3,      0,    685,    .22,   -.62,  -1.19,   -1.5,  -2.44,  -2.06,  -1.45,   30.6,   55.2,
       16,      01,   191801,   2.93,   37.5,  -2.48,  -2.48,   -1.3,  -2.48,      0,    852,   -.58,   -1.5,  -1.55,     -1,  -1.26,  -1.26,  -2.59,   24.8,   50.3,
       16,      04,   191801,    2.4,   39.6,  -4.27,  -4.27,  -2.02,  -4.27,      0,    787,     -1,  -1.84,  -2.07,  -1.98,  -2.58,   -2.2,  -3.09,   26.8,   52.4,
       16,      07,   191801,   3.14,   44.4,  -5.08,  -5.08,  -2.01,  -5.08,      0,    639,   -.71,  -1.76,  -2.05,  -2.13,  -2.74,  -2.42,  -2.92,   32.3,   56.4,
       16,      08,   191801,   4.65,   44.2,  -4.04,  -4.04,   -.68,  -4.04,      7,    652,    .07,   -.74,  -1.32,  -1.85,  -2.45,  -2.22,  -2.26,   32.2,   56.2,
       16,      02,   191801,   3.61,   36.4,  -2.81,  -2.81,  -1.17,  -2.81,      0,    887,    -.4,  -1.41,   -1.9,  -1.32,  -1.83,  -1.63,  -2.45,   24.8,   48.1,
       16,      09,   191801,   5.39,   46.2,   -3.5,   -3.5,   -.01,  -3.45,     11,    593,    .49,   -.32,   -.98,  -1.45,   -2.2,  -2.22,  -2.07,   35.2,   57.2,
       16,      03,   191801,   5.03,   36.8,  -2.34,  -2.34,   -.35,  -2.34,      0,    874,    .14,   -.92,  -1.69,  -1.34,  -1.97,  -1.39,   -2.1,   24.7,   48.8,
       16,      07,   191802,   2.48,   59.1,  -5.36,  -5.36,  -2.41,  -5.36,     43,    208,   -.78,  -1.09,   -1.9,  -2.46,  -2.45,  -2.64,  -3.02,     49,   69.3,
       16,      04,   191802,   2.27,   55.4,  -4.69,  -4.69,  -2.58,  -4.69,     22,    290,  -1.03,  -1.48,  -2.12,  -2.26,  -2.26,  -2.34,  -3.03,   43.9,     67,
       16,      03,   191802,    1.9,   53.6,  -2.94,  -2.94,  -2.52,  -2.94,     17,    336,  -1.37,   -.83,  -1.57,  -2.21,  -1.85,  -1.81,  -2.18,   41.3,   65.8,
       16,      06,   191802,   2.28,   59.4,  -3.68,  -3.68,   -2.6,  -3.68,     49,    205,  -1.27,   -.66,  -1.49,  -2.56,  -2.68,  -2.46,  -1.54,   48.8,   69.9,
       16,      05,   191802,   2.78,   57.1,  -4.01,  -4.01,  -2.01,  -4.01,     31,    252,   -.87,   -.65,  -1.39,  -2.18,  -2.53,  -2.55,  -2.25,   45.8,   68.3,
       16,      01,   191802,   1.03,   53.8,  -3.32,  -3.32,  -3.27,  -3.32,     15,    328,  -1.78,  -1.68,  -1.99,  -1.98,  -1.26,  -1.56,   -2.3,   41.4,   66.2,
       16,      02,   191802,   1.29,   53.4,  -3.55,  -3.55,  -3.08,  -3.55,     14,    339,  -1.66,  -1.45,  -1.99,   -2.3,  -1.82,  -1.92,  -2.32,   41.6,   65.1,
       16,      08,   191802,   2.74,   60.4,  -4.23,  -4.23,  -1.84,  -4.23,     57,    185,   -.75,   -.47,  -1.19,  -2.53,  -2.33,  -2.31,  -2.17,   50.5,   70.3,
       16,      09,   191802,    2.5,   61.4,   -3.8,   -3.8,  -1.97,   -3.8,     65,    166,   -.82,   -.19,   -.82,  -1.97,  -2.17,  -2.29,  -1.98,   52.9,   69.8,
       16,      04,   191803,      2,   63.9,   -5.2,   -5.2,  -2.98,   -5.2,     99,    133,  -1.37,  -1.76,  -1.91,  -2.32,  -2.08,  -2.39,  -2.71,   51.8,     76,
       16,      09,   191803,   2.78,   67.4,  -4.12,  -4.12,  -2.14,  -4.12,    142,     68,   -.71,  -1.19,   -.64,  -1.95,  -1.96,  -2.36,  -1.79,   58.8,   76.1,
       16,      03,   191803,    .64,   62.3,  -4.21,  -4.21,  -4.72,  -4.21,     83,    167,  -2.98,  -2.66,  -1.99,  -2.69,  -2.04,  -2.21,  -2.04,   49.3,   75.2,
       16,      08,   191803,   2.15,     67,   -4.6,   -4.6,  -2.42,   -4.6,    140,     78,   -.89,  -1.26,   -.99,  -2.08,  -2.05,  -2.43,  -2.09,   56.9,     77,
       16,      07,   191803,   3.14,   66.6,  -5.36,  -5.36,  -1.66,  -5.36,    134,     85,   -.27,   -.86,  -1.11,   -2.1,  -2.11,   -2.5,  -2.76,   56.2,     77,
       16,      02,   191803,    .67,   61.4,  -4.69,  -4.69,  -4.52,  -4.69,     70,    181,  -2.55,  -2.65,  -2.45,  -2.56,  -1.96,  -2.28,  -2.19,     49,   73.9,
       16,      06,   191803,   1.68,   65.9,  -4.45,  -4.45,  -3.44,  -4.45,    124,     96,   -1.6,  -2.01,  -1.54,  -2.35,  -2.14,  -2.54,  -1.56,     55,   76.8,
       16,      05,   191803,   1.99,     65,  -4.68,  -4.68,  -3.25,  -4.68,    114,    114,  -1.48,  -1.75,   -1.4,  -2.26,  -2.19,  -2.57,  -2.29,   53.3,   76.8,
       16,      01,   191803,   1.61,     62,     -4,     -4,  -3.09,     -4,     77,    170,   -1.7,   -2.2,  -2.16,  -2.15,  -1.29,  -1.81,  -2.07,   49.5,   74.6,
       16,      04,   191804,   7.77,   64.5,  -3.95,  -3.95,   2.17,  -3.08,     67,     82,   1.16,    .19,   -.42,   -1.6,  -1.71,  -2.14,  -2.37,   53.4,   75.7,
       16,      02,   191804,   6.04,   62.7,  -4.07,  -4.07,     .4,  -3.86,     46,    115,    .52,   -.94,  -1.64,  -2.25,  -1.86,   -2.2,   -1.9,   51.6,   73.7,
       16,      09,   191804,   8.57,   67.3,  -2.81,  -2.81,   2.64,  -1.74,    104,     35,   1.31,    .62,    .13,   -.54,  -1.11,   -1.9,  -1.33,   59.4,   75.1,
       16,      06,   191804,   7.66,   65.2,  -3.53,  -3.53,   1.39,  -2.94,     74,     68,    .91,   -.16,   -.79,  -1.36,  -1.62,  -2.19,  -1.27,     55,   75.3,
       16,      01,   191804,   7.06,     63,  -2.85,  -2.85,   2.23,  -1.93,     50,    110,   1.02,      0,   -.91,   -1.6,   -1.3,  -1.48,  -1.77,   51.9,   74.1,
       16,      05,   191804,   7.78,   65.5,  -3.62,  -3.62,   1.73,  -2.91,     83,     68,   1.02,    .04,   -.49,  -1.41,   -1.7,  -2.41,  -2.01,   54.4,   76.6,
       16,      07,   191804,   6.29,   67.2,  -4.24,  -4.24,   1.69,  -3.56,    107,     41,    .91,    .43,   -.04,   -1.4,  -1.64,  -2.38,   -2.5,   57.7,   76.7,
